Timestamp,Temperature (in Celsius),Pressure (in MPa)
16:19:00,27.62,0.105
16:19:00,27.62,0.105
16:19:00,27.62,0.105
16:19:00,27.56,0.105
16:19:02,27.56,0.106
16:19:03,27.56,0.105
16:19:03,27.56,0.105
16:19:04,27.56,0.106
16:19:04,27.56,0.105
16:19:05,27.56,0.105
16:19:05,27.62,0.108
16:19:06,27.62,0.108
16:19:06,27.62,0.106
16:19:07,27.62,0.105
16:19:07,27.56,0.105
16:19:08,27.56,0.105
16:19:08,27.56,0.105
16:19:09,27.62,0.103
16:19:09,27.56,0.104
16:19:10,27.56,0.108
16:19:10,27.56,0.105
16:19:11,27.56,0.102
16:19:11,27.62,0.107
16:19:12,27.62,0.106
16:19:12,27.62,0.107
16:19:13,27.56,0.103
16:19:13,27.56,0.106
16:19:14,27.56,0.107
16:19:14,27.56,0.106
16:19:14,27.56,0.104
16:19:15,27.56,0.107
16:19:15,27.56,0.102
16:19:16,27.56,0.105
16:19:16,27.56,0.107
16:19:17,27.56,0.106
16:19:17,27.56,0.108
16:19:18,27.56,0.103
16:19:18,27.56,0.108
16:19:19,27.62,0.108
16:19:19,27.62,0.105
16:19:20,27.56,0.104
16:19:20,27.56,0.104
16:19:21,27.62,0.103
16:19:21,27.56,0.105
16:19:22,27.56,0.103
16:19:22,27.56,0.105
16:19:23,27.56,0.106
16:19:23,27.56,0.105
16:19:24,27.62,0.106
16:19:24,27.56,0.105
16:19:25,27.56,0.105
16:19:25,27.50,0.105
16:19:26,27.56,0.105
16:19:26,27.56,0.105
16:19:27,27.56,0.103
16:19:27,27.56,0.103
16:19:27,27.56,0.104
16:19:28,27.56,0.106
16:19:28,27.56,0.107
16:19:29,27.56,0.103
16:19:29,27.56,0.105
16:19:30,27.62,0.106
16:19:30,27.56,0.107
16:19:31,27.62,0.105
16:19:31,27.62,0.105
16:19:32,27.56,0.103
16:19:32,27.56,0.108
16:19:33,27.62,0.105
16:19:33,27.62,0.107
16:19:34,27.56,0.105
16:19:34,27.62,0.105
16:19:35,27.62,0.106
16:19:35,27.62,0.106
16:19:36,27.56,0.105
16:19:36,27.62,0.105
16:19:37,27.62,0.104
16:19:37,27.62,0.105
16:19:38,27.56,0.104
16:19:38,27.56,0.105
16:19:39,27.56,0.105
16:19:39,27.62,0.106
16:19:39,27.56,0.107
16:19:40,27.50,0.105
16:19:40,27.56,0.106
16:19:41,27.62,0.107
16:19:41,27.56,0.108
16:19:42,27.62,0.105
16:19:42,27.62,0.107
16:19:43,27.56,0.106
16:19:43,27.62,0.108
16:19:44,27.62,0.105
16:19:44,27.62,0.106
16:19:45,27.56,0.108
16:19:45,27.62,0.105
16:19:46,27.62,0.104
16:19:46,27.62,0.108
16:19:47,27.62,0.105
16:19:47,27.62,0.105
16:19:48,27.62,0.105
16:19:48,27.62,0.108
16:19:49,27.62,0.108
16:19:49,27.62,0.108
16:19:50,27.62,0.105
16:19:50,27.62,0.105
16:19:51,27.62,0.106
16:19:51,27.62,0.108
16:19:51,27.62,0.106
16:19:52,27.62,0.106
16:19:52,27.62,0.109
16:19:53,27.62,0.107
16:19:53,27.62,0.108
16:19:54,27.69,0.105
16:19:54,27.62,0.108
16:19:55,27.62,0.108
16:19:55,27.69,0.108
16:19:56,27.62,0.106
16:19:56,27.62,0.107
16:19:57,27.69,0.106
16:19:57,27.62,0.106
16:19:58,27.69,0.103
16:19:58,27.69,0.107
16:19:59,27.69,0.106
16:19:59,27.69,0.105
16:20:00,27.69,0.106
16:20:00,27.69,0.106
16:20:01,27.69,0.103
16:20:01,27.75,0.106
16:20:02,27.69,0.109
16:20:02,27.69,0.109
16:20:03,27.69,0.105
16:20:03,27.75,0.106
16:20:04,27.69,0.105
16:20:04,27.69,0.108
16:20:04,27.69,0.107
16:20:05,27.75,0.105
16:20:05,27.75,0.106
16:20:06,27.75,0.103
16:20:06,27.75,0.108
16:20:07,27.75,0.107
16:20:07,27.75,0.103
16:20:08,27.75,0.108
16:20:08,27.75,0.105
16:20:09,27.69,0.106
16:20:09,27.75,0.106
16:20:10,27.75,0.106
16:20:10,27.75,0.108
16:20:11,27.75,0.109
16:20:11,27.75,0.109
16:20:12,27.81,0.106
16:20:12,27.75,0.107
16:20:13,27.81,0.105
16:20:13,27.81,0.108
16:20:14,27.81,0.105
16:20:14,27.81,0.107
16:20:15,27.87,0.106
16:20:15,27.81,0.109
16:20:16,27.81,0.103
16:20:16,27.81,0.109
16:20:16,27.81,0.105
16:20:17,27.81,0.106
16:20:17,27.87,0.108
16:20:18,27.87,0.103
16:20:18,27.87,0.103
16:20:19,27.94,0.106
16:20:19,27.94,0.105
16:20:20,27.94,0.106
16:20:20,27.87,0.108
16:20:21,27.94,0.103
